PROV,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
INDONESIA,58.380,56.336,14.257,63.245,59.085,36.599,64.743,84.607,92.582,26.363,60.327,62.952,Berkembang
DI YOGYAKARTA,71.761,81.590,31.256,80.816,66.704,58.455,75.607,83.313,86.188,48.973,88.233,70.504,Berkembang
BALI,61.657,76.201,29.621,84.168,72.615,49.500,74.471,87.332,96.025,33.162,70.142,74.518,Berkembang
JAWA BARAT,66.041,69.405,19.731,86.617,69.312,50.870,77.786,85.172,90.932,41.387,78.999,67.001,Berkembang
JAWA TENGAH,64.531,69.283,17.846,84.907,68.083,45.891,72.483,86.802,92.809,32.605,83.610,63.047,Berkembang
JAWA TIMUR,68.208,68.696,19.546,85.004,71.219,47.057,67.516,87.336,91.857,30.691,78.697,64.929,Berkembang
SUMATERA BARAT,67.286,70.245,26.326,63.615,62.668,41.899,72.609,84.605,87.310,41.389,70.177,70.026,Berkembang
BANGKA BELITUNG,53.762,63.849,18.427,82.466,68.788,48.998,79.845,92.399,96.035,44.243,68.117,62.515,Berkembang
NUSA TENGGARA BARAT,73.201,64.988,15.466,70.884,64.167,44.237,74.549,86.697,89.055,29.097,71.852,71.578,Berkembang
SULAWESI SELATAN,64.428,59.542,12.071,72.846,64.212,36.735,74.769,89.692,94.496,25.137,65.016,74.630,Berkembang
BANTEN,67.119,61.237,16.381,68.107,64.641,45.007,66.971,87.213,87.428,29.499,65.203,65.827,Berkembang
LAMPUNG,62.988,61.873,15.584,66.272,64.014,38.660,61.255,90.326,96.529,37.210,60.298,64.119,Berkembang
JAMBI,62.217,60.652,15.215,60.965,59.751,37.505,67.197,89.616,96.199,38.854,60.624,67.734,Berkembang
RIAU,62.790,60.744,17.329,67.925,58.001,41.105,56.315,93.101,94.083,42.349,62.572,65.396,Berkembang
GORONTALO,69.075,55.662,15.377,68.532,61.121,37.784,76.603,83.895,86.094,22.151,65.119,65.422,Berkembang
SULAWESI UTARA,65.870,53.233,13.479,61.976,62.478,36.205,79.386,83.161,93.345,17.462,59.801,69.248,Berkembang
KALIMANTAN SELATAN,63.703,55.784,15.809,70.067,58.087,37.340,63.974,87.247,96.296,23.613,57.399,59.352,Berkembang
KALIMANTAN TIMUR,56.707,60.638,16.226,63.463,57.190,34.913,52.939,87.888,93.255,34.445,63.103,63.935,Berkembang
SUMATERA SELATAN,55.300,53.286,13.462,72.646,54.386,36.305,66.871,92.026,96.450,34.083,55.789,63.095,Berkembang
ACEH,58.612,56.479,13.154,69.640,62.357,38.029,59.894,84.719,94.795,18.421,39.276,61.179,Berkembang
SULAWESI TENGAH,63.144,48.576,12.727,51.322,57.204,30.870,74.108,91.145,91.776,28.447,58.787,67.549,Berkembang
BENGKULU,57.673,57.947,12.084,59.495,59.152,35.892,65.711,86.299,93.358,25.750,47.348,65.383,Berkembang
KEPULAUAN RIAU,56.500,55.929,14.039,59.946,61.380,35.966,53.558,85.284,90.894,31.806,57.509,50.276,Berkembang
SUMATERA UTARA,53.472,54.717,12.833,61.349,55.247,36.725,64.655,88.069,93.361,18.122,39.142,64.427,Berkembang
SULAWESI BARAT,64.653,46.636,11.150,47.102,47.477,26.830,63.902,88.149,94.841,25.073,60.737,67.469,Berkembang
SULAWESI TENGGARA,65.089,41.326,11.128,41.114,58.953,31.250,70.614,88.188,96.055,18.251,62.044,66.680,Berkembang
KALIMANTAN TENGAH,56.119,54.651,12.830,39.519,43.937,25.758,47.815,90.829,93.736,31.423,60.554,61.428,Berkembang
KALIMANTAN BARAT,48.062,47.673,13.017,51.867,41.574,28.633,53.114,90.729,93.504,31.492,57.712,59.522,Tertinggal
NUSA TENGGARA TIMUR,54.048,43.567,6.451,24.865,52.344,27.861,72.492,88.671,80.678,13.283,64.322,57.806,Tertinggal
MALUKU UTARA,60.093,38.899,10.278,39.110,55.766,24.270,59.701,82.257,85.804,15.636,45.383,62.922,Tertinggal
MALUKU,57.194,44.758,8.425,34.620,52.122,22.916,56.606,79.830,87.208,16.595,46.121,56.199,Tertinggal
KALIMANTAN UTARA,42.142,41.015,8.213,37.402,40.007,23.600,42.570,82.589,91.195,22.944,42.676,57.613,Tertinggal
PAPUA BARAT,32.867,32.406,5.304,31.440,41.279,12.678,48.845,63.557,93.975,9.170,37.710,53.830,Tertinggal
PAPUA,24.512,26.491,3.986,16.849,34.271,9.663,38.653,54.591,94.177,8.079,34.703,48.066,Tertinggal
